name,bday,date
"('name', 'Calista Maxwell')","('bday', '2 Jan 1996')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1537497952.2232354)"
"('name', 'Keira Hatfield')","('bday', '29 Sept 1972')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1539837412.225236)"
"('name', 'Oliva Buckley')","('bday', '3 Dec 1987')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1538891114.2272408)"
"('name', 'Lynn Rowe')","('bday', '2 Feb 1992')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Unhealthy')","('id', 1541822072.2292411)"
"('name', 'Magan Buckley')","('bday', '16 Feb 1958')","('created_time', '11-11-2018 16:00:08')","('shape', 'Oval')","('health', 'Unhealthy')","('id', 1540404392.2307408)"
"('name', 'Magan Thomas')","('bday', '9 Jan 1986')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1540054210.232741)"
"('name', 'Rick Rowe')","('bday', '13 Apr 1980')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Unhealthy')","('id', 1541840020.2347414)"
"('name', 'Anissa Hamilton')","('bday', '29 Apr 1965')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Healthy')","('id', 1539120550.236741)"
"('name', 'Patricia Santos')","('bday', '17 Jun 1968')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Healthy')","('id', 1518698736.2387419)"
"('name', 'Keira Hawkins')","('bday', '12 Oct 1997')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Unhealthy')","('id', 1539986838.240242)"
"('name', 'Frederic Ayers')","('bday', '7 May 1984')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Unhealthy')","('id', 1540557602.241788)"
"('name', 'Elroy Tanner')","('bday', '2 Dec 1998')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1539735755.243788)"
"('name', 'Darlene Kelly')","('bday', '2 Oct 1964')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Unhealthy')","('id', 1541527571.245788)"
"('name', 'Phung Huber')","('bday', '26 Feb 1973')","('created_time', '11-11-2018 16:00:08')","('shape', 'Oval')","('health', 'Healthy')","('id', 1541714633.2467892)"
"('name', 'Jeanna Hester')","('bday', '10 May 1972')","('created_time', '11-11-2018 16:00:08')","('shape', 'Oval')","('health', 'Healthy')","('id', 1541681741.248788)"
"('name', 'Dot Fuller')","('bday', '14 Mar 1994')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1541554651.2507885)"
"('name', 'Elisa Tanner')","('bday', '15 Oct 1969')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Healthy')","('id', 1540411545.2527883)"
"('name', 'Lyndsay Morgan')","('bday', '7 Oct 1980')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Healthy')","('id', 1528690642.2537885)"
"('name', 'Keira Tanner')","('bday', '4 Jan 1974')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Unhealthy')","('id', 1539987138.2557878)"
"('name', 'Truman Maxwell')","('bday', '3 Dec 1973')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Healthy')","('id', 1533665197.2577877)"
"('name', 'Danika Carrillo')","('bday', '18 Oct 1998')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Unhealthy')","('id', 1540010791.2587879)"
"('name', 'Frederic Chase')","('bday', '4 Feb 1976')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Healthy')","('id', 1540354323.2607887)"
"('name', 'Kenia Cain')","('bday', '4 Apr 1971')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1541962022.2627943)"
"('name', 'Kennith Bush')","('bday', '24 Oct 1971')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1541885663.264789)"
"('name', 'Johana Harrington')","('bday', '29 Oct 1978')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Healthy')","('id', 1500897659.2657893)"
"('name', 'Brady Sullivan')","('bday', '22 Dec 1986')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Healthy')","('id', 1528662570.2677946)"
"('name', 'Justine Sims')","('bday', '27 Jul 1995')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Unhealthy')","('id', 1540827622.2697892)"
"('name', 'Frederic Harrington')","('bday', '12 Mar 1992')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Healthy')","('id', 1399647659.271795)"
"('name', 'Syble Tanner')","('bday', '27 Oct 1984')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Healthy')","('id', 1537972792.2737951)"
"('name', 'Julius Oconnor')","('bday', '24 Oct 1978')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Healthy')","('id', 1535690426.274789)"
"('name', 'Oliva Quinn')","('bday', '13 Jan 1976')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Healthy')","('id', 1541682728.2767887)"
"('name', 'Elroy Berry')","('bday', '1 Sept 1974')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1541785273.2787955)"
"('name', 'Jodee Hatfield')","('bday', '11 Aug 1983')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Healthy')","('id', 1539674449.2807903)"
"('name', 'Mammie Santos')","('bday', '17 Sept 1996')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Unhealthy')","('id', 1537906943.283796)"
"('name', 'Salena Pruitt')","('bday', '8 Apr 1994')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1537018930.2847896)"
"('name', 'Jenell Decker')","('bday', '6 Nov 1997')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Healthy')","('id', 1541574924.2867894)"
"('name', 'Salena Compton')","('bday', '7 Jun 1964')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Healthy')","('id', 1537018787.2888162)"
"('name', 'Frederic Reed')","('bday', '29 Jul 1996')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Unhealthy')","('id', 1540294081.2907896)"
"('name', 'Bertram Richardson')","('bday', '19 Sept 1964')","('created_time', '11-11-2018 16:00:08')","('shape', 'Oval')","('health', 'Healthy')","('id', 1043154041.2917898)"
"('name', 'Dung Richardson')","('bday', '31 Jul 1985')","('created_time', '11-11-2018 16:00:08')","('shape', 'Circle')","('health', 'Healthy')","('id', 1430081426.2937896)"
"('name', 'Darlene Hatfield')","('bday', '3 Oct 1959')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Healthy')","('id', 1537145085.2957902)"
"('name', 'Darlene Decker')","('bday', '24 Jan 1988')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Healthy')","('id', 1541480644.2967901)"
"('name', 'Mirtha Hawkins')","('bday', '2 Nov 1966')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Healthy')","('id', 1536639971.2997909)"
"('name', 'Bobby Mckenzie')","('bday', '26 Apr 1976')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Unhealthy')","('id', 1528477129.300797)"
"('name', 'Buffy Contreras')","('bday', '20 May 1983')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1525135389.3027966)"
"('name', 'Shawna Frey')","('bday', '20 Oct 1957')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Unhealthy')","('id', 1541384219.3047967)"
"('name', 'Patricia Pineda')","('bday', '12 Feb 1980')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1521702900.3067913)"
"('name', 'Danika Pearson')","('bday', '19 Aug 1999')","('created_time', '11-11-2018 16:00:08')","('shape', 'Oval')","('health', 'Unhealthy')","('id', 1540070474.309791)"
"('name', 'Shantell Turner')","('bday', '13 Dec 1961')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Unhealthy')","('id', 1519206755.3117914)"
"('name', 'Shavonne Cantrell')","('bday', '29 Apr 1969')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Unhealthy')","('id', 1517586371.312791)"
"('name', 'Anabel Henry')","('bday', '25 May 1983')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Healthy')","('id', 1541784710.314791)"
"('name', 'Carin Madden')","('bday', '21 Nov 1959')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Unhealthy')","('id', 1540913801.316791)"
"('name', 'Nancie Mills')","('bday', '22 Dec 1964')","('created_time', '11-11-2018 16:00:08')","('shape', 'Diamond')","('health', 'Unhealthy')","('id', 1541559278.3187912)"
"('name', 'Margarett Herrera')","('bday', '29 Sept 1965')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Unhealthy')","('id', 1508166566.3207912)"
"('name', 'Brad Baxter')","('bday', '27 Apr 1987')","('created_time', '11-11-2018 16:00:08')","('shape', 'Rectangle')","('health', 'Unhealthy')","('id', 1541920025.3217914)"
"('name', 'Johana Kaufman')","('bday', '18 Aug 1982')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Healthy')","('id', 1537873597.3237915)"
"('name', 'Bertram Kelly')","('bday', '30 Jun 1958')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Unhealthy')","('id', 1541466321.3257916)"
"('name', 'Louisa Tanner')","('bday', '22 Nov 1996')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Healthy')","('id', 1536200261.3277993)"
"('name', 'Anisa Meza')","('bday', '10 Nov 1991')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Unhealthy')","('id', 1541835758.3292997)"
"('name', 'Terica Harrington')","('bday', '3 Mar 1978')","('created_time', '11-11-2018 16:00:08')","('shape', 'Octagon')","('health', 'Unhealthy')","('id', 1485272659.3318005)"
"('name', 'Irmgard Maldonado')","('bday', '29 Aug 1985')","('created_time', '11-11-2018 16:00:08')","('shape', 'Triangle')","('health', 'Healthy')","('id', 1437684505.333801)"
"('name', 'Carin Gray')","('bday', '17 Aug 1960')","('created_time', '11-11-2018 16:00:08')","('shape', 'Square')","('health', 'Unhealthy')","('id', 1541874104.3358006)"
