name,bday,date
"('created_time', '11-11-2018 15:19:46')","('name', 'Luella')","('bday', '25 Jan 1984')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:46')","('name', 'Keira')","('bday', '15 Jul 1977')","('shape', 'Triangle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:46')","('name', 'Wally')","('bday', '30 Sept 1978')","('shape', 'Square')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:47')","('name', 'Buffy')","('bday', '28 Aug 1999')","('shape', 'Square')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:47')","('name', 'Lynn')","('bday', '23 Feb 1988')","('shape', 'Rectangle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:48')","('name', 'Howard')","('bday', '11 Jun 1993')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:48')","('name', 'Anabel')","('bday', '6 Feb 1972')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:49')","('name', 'Shawna')","('bday', '13 Feb 1963')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:49')","('name', 'Collin')","('bday', '18 Oct 1961')","('shape', 'Circle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:50')","('name', 'Ema')","('bday', '6 Nov 1994')","('shape', 'Triangle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:50')","('name', 'Anisa')","('bday', '27 Jun 1996')","('shape', 'Square')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:50')","('name', 'Daisy')","('bday', '15 Nov 1968')","('shape', 'Octagon')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:51')","('name', 'Kenia')","('bday', '25 Oct 1990')","('shape', 'Oval')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:52')","('name', 'Anabel')","('bday', '20 Jan 1969')","('shape', 'Diamond')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:52')","('name', 'Shawna')","('bday', '22 Mar 1994')","('shape', 'Square')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:53')","('name', 'Krishna')","('bday', '7 Apr 1965')","('shape', 'Triangle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:53')","('name', 'Alona')","('bday', '15 Aug 1995')","('shape', 'Triangle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:54')","('name', 'Angla')","('bday', '10 Feb 1998')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:55')","('name', 'Darlene')","('bday', '18 Dec 1976')","('shape', 'Square')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:56')","('name', 'Patricia')","('bday', '14 Sept 1982')","('shape', 'Circle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:56')","('name', 'Henrietta')","('bday', '10 May 1990')","('shape', 'Oval')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:57')","('name', 'Celinda')","('bday', '27 Sept 1978')","('shape', 'Octagon')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:57')","('name', 'Oralia')","('bday', '19 Jun 1998')","('shape', 'Square')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:19:57')","('name', 'Collin')","('bday', '11 Oct 1996')","('shape', 'Diamond')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:57')","('name', 'Oliva')","('bday', '8 Aug 1962')","('shape', 'Diamond')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:58')","('name', 'Bettie')","('bday', '22 Oct 1977')","('shape', 'Square')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:19:59')","('name', 'Frederic')","('bday', '1 Aug 1967')","('shape', 'Square')","('health', 'Unhealthy')"
