name,bday,date
"('created_time', '11-11-2018 15:21:18')","('name', 'Kennith')","('bday', '31 Jul 1957')","('shape', 'Octagon')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Calista')","('bday', '22 Dec 1973')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Rowena')","('bday', '5 May 1996')","('shape', 'Oval')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Yasmine')","('bday', '11 Dec 1983')","('shape', 'Diamond')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Malia')","('bday', '3 Apr 1964')","('shape', 'Octagon')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Magan')","('bday', '9 Sept 1991')","('shape', 'Rectangle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Justine')","('bday', '24 Feb 1975')","('shape', 'Octagon')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Elisa')","('bday', '21 Jul 1972')","('shape', 'Octagon')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Julian')","('bday', '18 Jun 1995')","('shape', 'Octagon')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Howard')","('bday', '28 Jun 1990')","('shape', 'Square')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Deangelo')","('bday', '10 Jun 1957')","('shape', 'Oval')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Buffy')","('bday', '11 Feb 1986')","('shape', 'Square')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Riley')","('bday', '22 May 1987')","('shape', 'Triangle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Arla')","('bday', '16 Jul 1997')","('shape', 'Oval')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Riley')","('bday', '11 Aug 1973')","('shape', 'Rectangle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Elisa')","('bday', '25 Mar 1977')","('shape', 'Square')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Alona')","('bday', '6 Jun 1975')","('shape', 'Triangle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Lyndsay')","('bday', '25 Aug 1979')","('shape', 'Diamond')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Stephaine')","('bday', '22 Jun 1991')","('shape', 'Rectangle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Jeanna')","('bday', '22 Mar 1979')","('shape', 'Octagon')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Ema')","('bday', '26 Sept 1983')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Elroy')","('bday', '23 May 1963')","('shape', 'Circle')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Dung')","('bday', '30 Nov 1991')","('shape', 'Circle')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Howard')","('bday', '9 Jun 1962')","('shape', 'Diamond')","('health', 'Healthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Anisa')","('bday', '23 Jun 1977')","('shape', 'Oval')","('health', 'Unhealthy')"
"('created_time', '11-11-2018 15:21:18')","('name', 'Zana')","('bday', '30 Oct 1966')","('shape', 'Square')","('health', 'Unhealthy')"
